No.001　 ティラ（提拉）
No.002　 ティラン（提拉恩）
No.003　 ティラノス（提拉諾斯）
No.004　 爆炎龍ティラノス（爆炎龍提拉諾斯）
No.005　 プレシィ（普萊西）
No.006　 プレシィール（普萊西魯）
No.007　 プレシオス（普萊修斯）
No.008　 氷塊龍プレシオス（冰塊龍普萊修斯）
No.009　 ブラッキィ（布拉奇）
No.010　 ブラッキオ（布拉奇歐）
No.011　 ブラキオス（布拉秋斯）
No.012　 大花龍ブラキオス（大花龍布拉秋斯）
No.013　 プテーラ（普提拉）
No.014　 プテラス（普提拉斯）
No.015　 プテラドス（普提拉多斯）
No.016　 太陽龍プテラドス（太陽龍普提拉多斯）
No.017　 スピノン（斯皮諾）
No.018　 スピナス（斯皮納斯）
No.019　 デスピナス（德斯皮納斯）
No.020　 月光龍デスピナス（月光龍德斯皮納斯）
No.021　 レッドコドラ（紅色幼龍）
No.022　 レッドドラゴン（赤紅龍）
No.023　 ボルケーノドラゴン（火山龍）
No.024　 ブルーコドラ（藍色幼龍）
No.025　 ブルードラゴン（蒼藍龍）
No.026　 オーロラドラゴン（極光龍）
No.027　 グリーンコドラ（綠色幼龍）
No.028　 グリーンドラゴン（碧綠龍）
No.029　 アースドラゴン（大地龍）
No.030　 ホワイトコドラ（白色幼龍）
No.031　 ホワイトドラゴン（純白龍）
No.032　 ホーリードラゴン（神聖龍）
No.033　 ブラックコドラ（黑色幼龍）
No.034　 ブラックドラゴン（漆黑龍）
No.035　 デビルドラゴン（惡魔龍）
No.036　 ホノりん（炎之波利）
No.037　 デカホノりん（大炎之波利）
No.038　 アワりん（泡沫波利）
No.039　 デカアワりん（大泡沫波利）
No.040　 モリりん（森之波利）
No.041　 デカモリりん（大森之波利）
No.042　 ヒカりん（閃光波利）
No.043　 デカヒカりん（大閃光波利）
No.044　 ワルりん（惡之波利）
No.045　 デカワルりん（大惡之波利）
No.046　 レッドカーバンクル（紅色寶石獸）
No.047　 ルビーカーバンクル（紅寶石寶石獸）
No.048　 ブルーカーバンクル（藍色寶石獸）
No.049　 サファイアカーバンクル（藍寶石寶石獸）
No.050　 グリーンカーバンクル（綠色寶石獸）
No.051　 エメラルドカーバンクル（綠寶石寶石獸）
No.052　 イエローカーバンクル（黃色寶石獸）
No.053　 トパーズカーバンクル（黃玉寶石獸）
No.054　 パープルカーバンクル（紫色寶石獸）
No.055　 アメジストカーバンクル（紫晶寶石獸）
No.056　 レッドゴブリン（紅色哥布林）
No.057　 武者ゴブリン（武者哥布林）
No.058　 ブルーゴブリン（藍色哥布林）
No.059　 マリンゴブリン（海洋哥布林）
No.060　 ゴブリン（哥布林）
No.061　 ホブゴブリン（淘氣哥布林）
No.062　 レッドオーガ（紅色食人魔）
No.063　 サムライオーガ（武士食人魔）
No.064　 ブルーオーガ（藍色食人魔）
No.065　 アイスオーガ（冰之食人魔）
No.066　 オーガ（食人魔）
No.067　 アーマーオーガ（裝甲食人魔）
No.068　 フレイムファイター（火焰戰士）
No.069　 フレイムナイト（火焰騎士）
No.070　 アクアファイター（流水戰士）
No.071　 アクアナイト（流水騎士）
No.072　 アースファイター（大地戰士）
No.073　 アースナイト（大地騎士）
No.074　 ホワイトファイター（白戰士）
No.075　 ホワイトナイト（白騎士）
No.076　 ブラックファイター（黑戰士）
No.077　 ブラックナイト（黑騎士）
No.078　 フレイムゴーレム（火焰魔像）
No.079　 フレイムガーディアン（火焰守護者）
No.080　 アイスゴーレム（冰之魔像）
No.081　 アイスガーディアン（冰之守護者）
No.082　 アースゴーレム（大地魔像）
No.083　 アースガーディアン（大地守護者）
No.084　 マシンゴーレム（機械魔像）
No.085　 マシンゴーレムMk-II（機械魔像Mk-II）
No.086　 ダークゴーレム（黑暗魔像）
No.087　 ダークゴーレムMk-II（黑暗魔像Mk-II）
No.088　 ナーガ（納迦）
No.089　 エキドナ（俄克德娜）
No.090　 マーメイド（美人魚）
No.091　 セイレーン（塞壬）
No.092　 ドリヤード（樹精）
No.093　 アルラウネ（愛娜溫）
No.094　 キューピッド（丘比特）
No.095　 エンジェル（安琪兒）
No.096　 サキュバス（魅魔）
No.097　 リリス（莉莉絲）
No.098　 炎の魔剣士（炎之魔劍士）
No.099　 フェニックスナイト（鳳凰騎士）
No.100　 氷の魔剣士（冰之魔劍士）
No.101　 フェンリルナイト（芬里爾騎士）
No.102　 岩の魔剣士（岩之魔劍士）
No.103　 ドラゴンナイト（龍騎士）
No.104　 光の魔剣士（光之魔劍士）
No.105   ヴァーチェ（德天使）
No.106　 タイタン（泰坦）
No.107　 ギガンテス（癸幹忒斯）
No.108　 闇の魔剣士（暗之魔劍士）
No.109　 ダークドラゴンナイト（黑龍騎士）
No.110　 ヴァンパイア（吸血鬼）
No.111　 ヴァンパイアロード（吸血鬼領主）
No.112　 サラマンダー（沙羅曼蛇）
No.113　 イフリート（伊夫利特）
No.114　 シーサーペント（海蛇）
No.115　 リヴァイアサン（利維坦）
No.116　 ドラゴネット（穴龍）
No.117　 ファフニール（法夫納）
No.118　 白龍（白龍）
No.119　 神龍（神龍）
No.120　 バジリスク（翼蜥）
No.121　 ティアマット（迪亞馬特）
No.122　 ミネルヴァ（米涅瓦）
No.123　 戦女神·ミネルヴァ（戰女神·米涅瓦）
No.124　 ネプチューン（尼普頓）
No.125　 海王神·ネプチューン（海王神·尼普頓）
No.126　 セレス（瑟雷斯）
No.127　 豊穣神·セレス（豐收神·瑟雷斯）
No.128　 ヴィーナス（維納斯）
No.129　 慈愛神·ヴィーナス（慈愛神·維納斯）
No.130　 ハーデス（哈帝斯）
No.131　 冥界神·ハーデス（冥界神·哈帝斯）
No.132　 カグツチ（迦具土）
No.133　 ヒノカグツチ（火之迦具土）
No.134　 オロチ（大蛇）
No.135　 ヤマタノオロチ（八歧大蛇）
No.136　 スサノオ（須佐之男）
No.137　 スサノオノミコト（須佐之男命）
No.138　 アマテラス（天照）
No.139　 アマテラスオオカミ（天照大御神）
No.140　 ヨミ（黃泉）
No.141　 ツクヨミ（月讀）
No.142　 炎龍·ムスプルヘイム（炎龍·穆斯貝爾海姆）
No.143　 氷龍·ニブルヘイム（冰龍·尼福爾海姆）
No.144　 島龍·ユグドラシル（島龍·尤克特拉希爾）
No.145　 機龍·ヴァルハラ（機龍·瓦爾哈拉）
No.146　 邪龍·ヘルヘイム（邪龍·赫爾海姆）
No.147　 炎の番人（炎之守門人）
No.148　 水の番人（水之守門人）
No.149　 森の番人（森之守門人）
No.150　 光の番人（光之守門人）
No.151　 闇の番人（暗之守門人）
No.152　 ドラゴンシード（龍種）
No.153　 ドラゴンプラント（龍葵）
No.154　 ドラゴンフラワー（龍花）
No.155　 ルビリット（紅寶精靈）
No.156　 サファリット（藍寶精靈）
No.157　 エメリット（綠寶精靈）
No.158　 トパリット（黃玉精靈）
No.159　 アメリット（紫晶精靈）
No.160　 ミスリット（秘銀精靈）
No.161　 進化の赤仮面（進化的紅面具）
No.162　 進化の青仮面（進化的藍面具）
No.163　 進化の緑仮面（進化的綠面具）
No.164　 進化の黃仮面（進化的黃面具）
No.165　 進化の紫仮面（進化的紫面具）
No.166　 朱色の鬼神面（朱色的鬼神面）
No.167　 蒼色の鬼神面（蒼色的鬼神面）
No.168　 碧色の鬼神面（碧色的鬼神面）
No.169　 黃金の鬼神面（黃金的鬼神面）
No.170　 紫色の鬼神面（紫色的鬼神面）
No.171　 神化の紅面（神化的紅面具）
No.172　 神化の蒼面（神化的蒼面具）
No.173　 神化の碧面（神化的碧面具）
No.174　 神化の金面（神化的金面具）
No.175　 神化の黒面（神化的黑面具）
No.176　 メタルドラゴン（金屬龍）
No.177　 ハイメタルドラゴン（大金屬龍）
No.178　 キングメタルドラゴン（金屬龍王）
No.179　 ゴールドドラゴン（黃金龍）
No.180　 ハイゴールドドラゴン（大黃金龍）
No.181　 キングゴールドドラゴン（黃金龍王）
No.182　 ポリン（波利）
No.183　 マーリン（冰波利）
No.184　 ポポリン（波波利）
No.185　 ドロップス（土波利）
No.186　 ゴーストリング（幽靈波利）
No.187　 ゼウス（宙斯）
No.188　 覚醒ゼウス（覺醒宙斯）
No.189　 ヘラ（赫拉）
No.190　 覚醒ヘラ（覺醒赫拉）
No.191　 パイロデビル（火焰魔鬼）
No.192　 パイロデーモン（​​火焰惡魔）
No.193　 フロストデビル（冰霜魔鬼）
No.194　 フロストデーモン（​​冰霜惡魔）
No.195　 タウロスデビル（牛頭魔鬼）
No.196　 タウロスデーモン（​​牛頭惡魔）
No.197　 ハーピィデビル（鷹身人魔鬼）
No.198　 ハーピィデーモン（​​鷹身人惡魔）
No.199　 ブラッドデビル（血之魔鬼）
No.200　 ブラッドデーモン（​​血之惡魔）
No.201　 紅蓮の女帝·エキドナ（紅蓮的女帝·俄克德娜）
No.202　 大海の歌姫·セイレーン（大海的歌姬·塞壬）
No.203　 大樹の精霊·アルラウネ（大樹的精靈·愛娜溫）
No.204　 天空の使徒·エンジェル（天空的使徒·安琪兒）
No.205　 常夜の魔女·リリス（常夜的魔女·莉莉絲）
No.206　 マーズライトカーバンクル（火星之光寶石獸）
No.207　 マーキュライトカーバンクル（水星之光寶石獸）
No.208　 アースライトカーバンクル（大地之光寶石獸）
No.209　 サンライトカーバンクル（陽光寶石獸）
No.210　 ムーンライトカーバンクル（月光寶石獸）
No.211　 メテオボルケーノドラゴン（隕石火山龍）
No.212　 クリスタルオーロラドラゴン（水晶極光龍）
No.213　 グラビトンアースドラゴン（引力大地龍）
No.214　 ライトニングホーリードラゴン（閃電神聖龍）
No.215　 カオスデビルドラゴン（混沌惡魔龍）
No.216　 緋天龍·エルドラド（緋天龍·埃爾多拉多）
No.217　 蒼天龍·ニライカナイ（蒼天龍·龍宮）
No.218　 樹天龍·ホウライ（樹天龍·蓬萊）
No.219　 聖天龍·シャングリラ（聖天龍·香格里拉）
No.220　 夜天龍·エリュシオン（夜天龍·艾利西翁）
No.221　 ベルセルク（狂暴者）
No.222　 蒼剣の覇王·ジークフリート（蒼劍的霸王·齊格弗里德）
No.223　 ハイランダー（高地人）
No.224　 碧槍の英雄·クーフーリン（碧槍的英雄·庫胡林）
No.225　 ワルキューレ（瓦爾基里）
No.226　 白盾の女神·ヴァルキリー（白盾的女神·瓦爾基里）
No.227　 ドラゴンフルーツ（龍果）
No.228　 マスターリング（波利王）
No.229　 フェニックスナイト·ホムラ（鳳凰騎士·焰）
No.230　 フェンリルナイト·カムイ（芬里爾騎士·神威）
No.231　 エンシェントドラゴンナイト（遠古龍騎士）
No.232　 天空の騎士·ヴァーチェ（天空的騎士·德天使）
No.233　 カオスドラゴンナイト（混沌龍騎士）
No.234　 神秘の仮面（神秘的面具）
No.235　 キングゴールドネッキー（黃金尼奇王）
No.236　 シヴァ（濕婆）
No.237　 破壊神·シヴァ（破壞神·濕婆）
No.238　 ラクシュミー（拉克什米）
No.239　 幸運の女神·ラクシュミー（幸運的女神·拉克什米）
No.240　 パールヴァテ​​ィー（帕爾瓦蒂）
No.241　 金色の女神·パールヴァテ​​ィー（金色的女神·帕爾瓦蒂）
No.242　 インドラ（因陀羅）
No.243　 雷霆龍·インドラ（雷霆龍·因陀羅）
No.244　 ヴリトラ（弗栗多）
No.245　 暗黒龍·ヴリトラ（暗黑龍·弗栗多）
No.246　 ダブルビリット（雙倍紅寶精靈）
No.247　 ダブサファリット（雙倍藍寶精靈）
No.248　 ダブエメリット（雙倍綠寶精靈）
No.249　 ダブトパリット（雙倍黃玉精靈）
No.250　 ダブアメリット（雙倍紫晶精靈）
No.251　 ダブミスリット（雙倍秘銀精靈）
No.252　 ルビードラゴン（紅寶石龍）
No.253　 ハイルビードラゴン（大紅寶石龍）
No.254　 キングルビードラゴン（紅寶石龍王）
No.255　 サファイアドラゴン（藍寶石龍）
No.256　 ハイサファイアドラゴン（大藍寶石龍）
No.257　 キングサファイアドラゴン（藍寶石龍王）
No.258　 エメラルドドラゴン（綠寶石龍）
No.259　 ハイエメラルドドラゴン（大綠寶石龍）
No.260　 キングエメラルドドラゴン（綠寶石龍王）
No.261　 超キングメタルドラゴン（超級金屬龍王）
No.262　 フレイムキメラ（火焰奇美拉）
No.263　 マグマキマイラ（熔岩奇美拉）
No.264　 バブルキメラ（泡沫奇美拉）
No.265　 ディープキマイラ（深海奇美拉）
No.266　 リーフキメラ（樹葉奇美拉）
No.267　 フラワーキマイラ（鮮花奇美拉）
No.268　 ボルトキメラ（閃電奇美拉）
No.269　 サンダーキマイラ（雷霆奇美拉）
No.270　 ミストキメラ（薄霧奇美拉）
No.271　 フォッグキマイラ（濃霧奇美拉）
No.272　 ベビーマッチ（小火柴）
No.273　 ベビーマッチプラス（小火柴Plus）
No.274　 アクマーメイド（水叮噹美人魚）
No.275　 アクマーメイドプラス（水叮噹美人魚Plus）
No.276　 ごぶがりゴブリン（平頭哥布林）
No.277　 ごぶがりゴブリンプラス（平頭哥布林Plus）
No.278　 音符のしにがみ（音符死神）
No.279　 音符のしにがみプラス（音符死神Plus）
No.280　 どんちゃん（咚鏘）
No.281　 勇者どんちゃん（勇者咚鏘）
No.282　 勇者どんちゃんプラス（勇者咚鏘Plus）
No.283　 砲炎機龍·ベテルギウス（炮炎機龍·貝特魯吉爾斯）
No.284　 氷砕機龍·アルデバラン（冰碎機龍·艾爾帕蘭）
No.285　 旋風機龍·カノープス（旋風機龍·卡諾普斯）
No.286　 皇爪機龍·レグルス（皇爪機龍·雷古勒斯）
No.287　 殲滅機龍·ハダル（殲滅機龍·哈達魯）
No.288　 ドラール（幼炎龍）
No.289　 アグドラール（熔岩火焰龍）
